brand,name,models,color,ram,storage,rom,screen,screen_size,sim,os,behind_camera,front_camera,url,error_url
Infinix,Note 3 Pro,NOTE 3 Pro,"['Palm gold', ' Crystal gray', ' Champagne Gold', ' Glossy silver']","['2GB', '3GB']","['16GB', '16GB']",128MB,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_note_3_pro-9476.php,-1
Infinix,Hot 4,HOT 4,"['Luxurious Gold', ' Sandstone Black', ' Scarlet Red', ' Turquoise Dream', ' Sapphire Blue']","['1GB', '2GB']","['16GB', '16GB']",128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['8 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_hot_4-9472.php,-1
Infinix,Hot 4 Pro,HOT 4 Pro,"['Anthracite Gray', ' Champagn Gold', ' Glossy Silver', ' Mysterious Blue']",['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_hot_4_pro-9473.php,-1
Infinix,S2 Pro,"S2 Pro, S2","['Midnight Black', ' Orchid Gray', ' Coral Blue', ' Arctic Silver', ' Maple Gold']","['2GB', '3GB']","['16GB', '32GB']",128MB,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['13 MP, PDAF']","['13 MP', '8 MP, 9mm (ultrawide)']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_s2_pro-9422.php,-1
Infinix,Zero 4,Zero 4,"['Anthracite Grey', ' Champagne Gold', ' Barbie Pink', ' Filber Brown']",['3GB'],['32GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['16 MP, f/2.0, PDAF, Laser AF, OIS']","['8 MP, f/2.2']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_zero_4-9478.php,-1
Infinix,Zero 4 Plus,Zero 4 Plus,"['Lilac grey', ' Champagne', ' Galaxy Blue', ' Silver purple']",['4GB'],['64GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.98 inches, 98.6 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['21 MP, f/2.0, PDAF, Laser AF, OIS']","['13 MP, f/2.2']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_zero_4_plus-9479.php,-1
Infinix,Smart,X5010,"['Champagne gold', ' Sandstone Black', ' Bordeaux red', ' Mysterious blue', ' Apple Green']",['1GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_smart-9431.php,-1
Infinix,Note 4,"X572, X572-LTE","['Champagne Gold', ' Milan Black', ' Ice Blue']",['2GB'],['16GB'],128MB,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['13 MP, AF']","['8 MP, 1.4µm']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_note_4-9418.php,-1
Infinix,Note 4 Pro,X571,"['Champagne Gold', ' Sandstone Black', ' Prussian Blue', ' Lilac Gray']","['2GB', '3GB']","['16GB', '32GB']",128MB,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['13 MP, AF']","['8 MP, 1.4µm']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_note_4_pro-9419.php,-1
Infinix,Hot 5,"X559C, X559, X559F","['Gold', ' Black', ' White', ' Lemon', ' Red']",['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['8 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_hot_5-9427.php,-1
Tecno,Phantom 6 Plus,Phantom6-Plus,['Champange Gold'],['4GB'],['64GB'],128MB,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm","Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Android 7.0 (Nougat),"['21 MP, f/2.0, PDAF']","['8 MP, f/2.2']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_phantom_6_plus-9439.php,-1
Tecno,Phantom 8,AX8,"['Galaxy Blue', ' Champagne Gold', ' Phantom Black']",['6GB'],['64GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm","Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Android 7.0 (Nougat),"['12 MP, f/2.0, PDAF', '13 MP, f/2.6']","['20 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_phantom_8-9440.php,-1
Tecno,Camon CM,CA6,"['Champagne Gold', ' Midnight Black', ' City Blue']","['2GB', '3GB']","['16GB', '32GB']",128MB,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm","Dual SIM (Nano-SIM, dual stand-by)",Android 7.0 (Nougat),"['13 MP, f/2.0, AF']","['13 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_camon_cm-9443.php,-1
Tecno,Camon CX,Camon CX,"['Grey', ' Rose Golden', ' Golden', ' Blue']","['2GB', '3GB']","['16GB', '32GB']",128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['16 MP, f/2.0, PDAF']","['16 MP, f/2.0, AF']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_camon_cx-9444.php,-1
Tecno,Camon CX Air,CX Air,"['Champagne Gold', ' Sky Grey', ' Elegant Blue']",['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['13 MP, f/2.0, PDAF']","['13 MP, f/2.2, AF']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_camon_cx_air-9445.php,-1
Tecno,Camon CX Manchester City LE,CX Air,['City Blue'],['4GB'],['64GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['16 MP, f/2.0, PDAF']","['16 MP, f/2.0, AF']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_camon_cx_manchester_city_le-9446.php,-1
Tecno,Camon X,CX Air,"['Champagne Gold', ' Midnight Black', ' City Blue']","['3GB', '3GB']","['16GB', '32GB']",128MB,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm","Dual SIM (Nano-SIM, dual stand-by)",Android 8.1 (Oreo),"['16 MP, f/1.8, PDAF']","['20 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_camon_x-9447.php,-1
Tecno,Camon X Pro,CA8,"['Midnight Black', ' Bordeaux Red']",['4GB'],['64GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm","Dual SIM (Nano-SIM, dual stand-by)",Android 8.1 (Oreo),"['16 MP, f/1.8, PDAF']","['24 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_camon_x_pro-9448.php,-1
Tecno,Spark,K7,"['Champagne Gold', ' Black', ' Coral Blue', ' Metallic Red']","['1GB', '2GB']","['16GB', '16GB']",128MB,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 7.0 (Nougat),"['13 MP, f/2.0, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/tecno_spark-9449.php,-1
